"COUNTRY","Country","VARIABLE","Variable","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"ALB","Albania","B-VII-01_010_00","Total injury accidents - Number at 31.12 (Unit)","2016","2016","NBR","Number","0","Units",,,2032,,
"ALB","Albania","B-VII-01_010_00","Total injury accidents - Number at 31.12 (Unit)","2017","2017","NBR","Number","0","Units",,,1978,,
"ALB","Albania","B-VII-01_010_00","Total injury accidents - Number at 31.12 (Unit)","2018","2018","NBR","Number","0","Units",,,1718,,
"ALB","Albania","B-VII-01_010_11","Motorways","2016","2016","NBR","Number","0","Units",,,53,,
"ALB","Albania","B-VII-01_010_11","Motorways","2017","2017","NBR","Number","0","Units",,,23,,
"ALB","Albania","B-VII-01_010_11","Motorways","2018","2018","NBR","Number","0","Units",,,21,,
"ALB","Albania","B-VII-01_010_12","In built-up areas","2016","2016","NBR","Number","0","Units",,,1232,,
"ALB","Albania","B-VII-01_010_12","In built-up areas","2017","2017","NBR","Number","0","Units",,,1246,,
"ALB","Albania","B-VII-01_010_12","In built-up areas","2018","2018","NBR","Number","0","Units",,,1170,,
"ALB","Albania","B-VII-01_010_13","Outside built-up areas","2016","2016","NBR","Number","0","Units",,,742,,
"ALB","Albania","B-VII-01_010_13","Outside built-up areas","2017","2017","NBR","Number","0","Units",,,696,,
"ALB","Albania","B-VII-01_010_13","Outside built-up areas","2018","2018","NBR","Number","0","Units",,,511,,
"ALB","Albania","B-VII-01_010_14","Unknown","2016","2016","NBR","Number","0","Units",,,5,,
"ALB","Albania","B-VII-01_010_14","Unknown","2017","2017","NBR","Number","0","Units",,,13,,
"ALB","Albania","B-VII-01_010_14","Unknown","2018","2018","NBR","Number","0","Units",,,16,,
"ALB","Albania","B-VII-02_010_00","Total casualties - Number at 31.12  (Unit)","2016","2016","NBR","Number","0","Units",,,2778,,
"ALB","Albania","B-VII-02_010_00","Total casualties - Number at 31.12  (Unit)","2017","2017","NBR","Number","0","Units",,,2611,,
"ALB","Albania","B-VII-02_010_00","Total casualties - Number at 31.12  (Unit)","2018","2018","NBR","Number","0","Units",,,2291,,
"ALB","Albania","B-VII-02_010_21","Motorways","2016","2016","NBR","Number","0","Units",,,78,,
"ALB","Albania","B-VII-02_010_21","Motorways","2017","2017","NBR","Number","0","Units",,,38,,
"ALB","Albania","B-VII-02_010_21","Motorways","2018","2018","NBR","Number","0","Units",,,39,,
"ALB","Albania","B-VII-02_010_22","In built-up areas","2016","2016","NBR","Number","0","Units",,,1516,,
"ALB","Albania","B-VII-02_010_22","In built-up areas","2017","2017","NBR","Number","0","Units",,,1514,,
"ALB","Albania","B-VII-02_010_22","In built-up areas","2018","2018","NBR","Number","0","Units",,,1447,,
"ALB","Albania","B-VII-02_010_23","Outside built-up areas","2016","2016","NBR","Number","0","Units",,,1171,,
"ALB","Albania","B-VII-02_010_23","Outside built-up areas","2017","2017","NBR","Number","0","Units",,,1045,,
