"COUNTRY","Country","INDICATOR","Indicator","YEAR","Year","Value","Flag Codes","Flags"
"ALB","Albania","IND-ECO-VA","Share of value added by the transport sector","2000","2000",3.579381204528,,
"ALB","Albania","IND-ECO-VA","Share of value added by the transport sector","2001","2001",4.006567691034,,
"ALB","Albania","IND-ECO-VA","Share of value added by the transport sector","2002","2002",3.516486958284,,
"ALB","Albania","IND-ECO-VA","Share of value added by the transport sector","2003","2003",2.8984216112323,,
"ALB","Albania","IND-ECO-VA","Share of value added by the transport sector","2004","2004",3.2721760945488,,
"ALB","Albania","IND-ECO-VA","Share of value added by the transport sector","2005","2005",3.5807260386795,,
"ALB","Albania","IND-ECO-VA","Share of value added by the transport sector","2006","2006",3.749506133478,,
"ALB","Albania","IND-ECO-VA","Share of value added by the transport sector","2007","2007",3.968991772607,,
"ALB","Albania","IND-ECO-VA","Share of value added by the transport sector","2008","2008",3.8658801582594,,
"ALB","Albania","IND-ECO-VA","Share of value added by the transport sector","2009","2009",4.1612602512254,,
"ALB","Albania","IND-ECO-VA","Share of value added by the transport sector","2010","2010",4.3595801146095,,
"ALB","Albania","IND-ECO-VA","Share of value added by the transport sector","2011","2011",4.7112651493203,,
"ALB","Albania","IND-ECO-VA","Share of value added by the transport sector","2012","2012",4.8642186952531,,
"ALB","Albania","IND-ECO-VA","Share of value added by the transport sector","2013","2013",3.6146181399244,,
"ALB","Albania","IND-ECO-VA","Share of value added by the transport sector","2014","2014",3.4417809287764,,
"ALB","Albania","IND-ECO-VA","Share of value added by the transport sector","2015","2015",3.4746839015243,,
"ALB","Albania","IND-ECO-VA","Share of value added by the transport sector","2016","2016",3.4980396497669,,
"ALB","Albania","IND-ECO-VA","Share of value added by the transport sector","2017","2017",3.658512996255,,
"ALB","Albania","IND-ECO-VA","Share of value added by the transport sector","2018","2018",3.758583568293,,
"ALB","Albania","IND-ECO-VA","Share of value added by the transport sector","2019","2019",3.7496639619548,"P","Provisional value"
"ALB","Albania","IND-ECO-VA","Share of value added by the transport sector","2020","2020",3.2029693114479,"P","Provisional value"
"ALB","Albania","IND-ECO-VA","Share of value added by the transport sector","2021","2021",3.5594458019794,"P","Provisional value"
"AUS","Australia","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2000","2000",12.296167001056,,
"AUS","Australia","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2001","2001",11.749901291409,,
"AUS","Australia","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2002","2002",11.847699538614,,
"AUS","Australia","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2003","2003",11.78573447126,,
"AUS","Australia","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2004","2004",11.972190827152,,
"AUS","Australia","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2005","2005",12.014985043513,,
"AUS","Australia","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2006","2006",12.332620866476,,
"AUS","Australia","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2007","2007",13.062899091474,,
"AUS","Australia","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2008","2008",11.359318241217,,
"AUS","Australia","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2009","2009",11.268879204937,,
"AUS","Australia","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2010","2010",11.67499947702,,
"AUS","Australia","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2011","2011",11.802784759149,,
"AUS","Australia","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2012","2012",11.774240224655,,
"AUS","Australia","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2013","2013",11.574286307272,,
"AUS","Australia","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2014","2014",11.014736527748,,
"AUS","Australia","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2015","2015",10.802456720519,,
"AUS","Australia","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2016","2016",10.633409844219,,
"AUS","Australia","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2017","2017",10.647809429405,,
"AUS","Australia","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2018","2018",10.628040479432,,
"AUS","Australia","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2019","2019",9.4270473132112,,
"AUS","Australia","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2020","2020",7.7007529570288,,
"AUS","Australia","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2021","2021",8.5432467516324,,
"AUS","Australia","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2000","2000",30.363409266639,,
"AUS","Australia","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2001","2001",30.543546612168,,
"AUS","Australia","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2002","2002",30.452030863299,,
"AUS","Australia","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2003","2003",30.380050353675,,
"AUS","Australia","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2004","2004",28.129214463643,,
"AUS","Australia","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2005","2005",26.389280886525,,
"AUS","Australia","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2006","2006",25.470192333271,,
"AUS","Australia","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2007","2007",24.57358490566,,
"AUS","Australia","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2008","2008",20.707305723592,,
"AUS","Australia","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2009","2009",21.280674375453,,
"AUS","Australia","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2010","2010",19.755644149794,,
"AUS","Australia","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2011","2011",19.472176587051,,
"AUS","Australia","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2012","2012",20.834049784053,,
"AUS","Australia","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2013","2013",20.442968757697,,
"AUS","Australia","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2014","2014",21.255557106118,,
"AUS","Australia","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2015","2015",22.941164941988,,
"AUS","Australia","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2016","2016",22.651332884227,,
"AUS","Australia","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2017","2017",21.710781506862,,
"AUS","Australia","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2018","2018",20.366721008975,,
"AUS","Australia","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2019","2019",21.047177361433,,
"AUS","Australia","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2020","2020",32.482687236612,,
"AUS","Australia","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2021","2021",30.119830802648,,
"AUS","Australia","IND-ECO-EXP-EQUI","Share of household expenditure for operation of personal transport equipment in total household expenditure for transport","2000","2000",47.621879894526,,
"AUS","Australia","IND-ECO-EXP-EQUI","Share of household expenditure for operation of personal transport equipment in total household expenditure for transport","2001","2001",47.545590315988,,
"AUS","Australia","IND-ECO-EXP-EQUI","Share of household expenditure for operation of personal transport equipment in total household expenditure for transport","2002","2002",47.22303100888,,
"AUS","Australia","IND-ECO-EXP-EQUI","Share of household expenditure for operation of personal transport equipment in total household expenditure for transport","2003","2003",47.161183140083,,
"AUS","Australia","IND-ECO-EXP-EQUI","Share of household expenditure for operation of personal transport equipment in total household expenditure for transport","2004","2004",48.679137512495,,
"AUS","Australia","IND-ECO-EXP-EQUI","Share of household expenditure for operation of personal transport equipment in total household expenditure for transport","2005","2005",48.978742999747,,
