Country_Code,Country_Name,Year,GDP_per_Capita_USD,KM_Railway_per_1000_sq_km,Population_Density_sq_km,Land_Area_sq_km,Share_Indicator,Share_Value,Infrastructure_Indicator,Infrastructure_USD
ALB,Albania,2010,4094.34968570481,13.9,106.314635036496,27400.0,Share of value added by the transport sector,4.3595801146095,Rail infrastructure investment,318632.0972267265
ALB,Albania,2010,4094.34968570481,13.9,106.314635036496,27400.0,Share of value added by the transport sector,4.3595801146095,Road infrastructure investment,258853607.18116742
ALB,Albania,2010,4094.34968570481,13.9,106.314635036496,27400.0,Share of value added by the transport sector,4.3595801146095,Road infrastructure maintenance,7375167.323613864
ALB,Albania,2010,4094.34968570481,13.9,106.314635036496,27400.0,Share of household expenditure for transport in total household expenditure,4.3596208225729,Rail infrastructure investment,318632.0972267265
ALB,Albania,2010,4094.34968570481,13.9,106.314635036496,27400.0,Share of household expenditure for transport in total household expenditure,4.3596208225729,Road infrastructure investment,258853607.18116742
ALB,Albania,2010,4094.34968570481,13.9,106.314635036496,27400.0,Share of household expenditure for transport in total household expenditure,4.3596208225729,Road infrastructure maintenance,7375167.323613864
ALB,Albania,2011,4437.14116097061,13.9,106.02901459854,27400.0,Share of value added by the transport sector,4.7112651493203,Rail infrastructure investment,930360.5129170044
ALB,Albania,2011,4437.14116097061,13.9,106.02901459854,27400.0,Share of value added by the transport sector,4.7112651493203,Road infrastructure investment,224857459.7038618
ALB,Albania,2011,4437.14116097061,13.9,106.02901459854,27400.0,Share of value added by the transport sector,4.7112651493203,Road infrastructure maintenance,8220726.499381409
ALB,Albania,2011,4437.14116097061,13.9,106.02901459854,27400.0,Share of household expenditure for transport in total household expenditure,4.8240542251356,Rail infrastructure investment,930360.5129170044
ALB,Albania,2011,4437.14116097061,13.9,106.02901459854,27400.0,Share of household expenditure for transport in total household expenditure,4.8240542251356,Road infrastructure investment,224857459.7038618
ALB,Albania,2011,4437.14116097061,13.9,106.02901459854,27400.0,Share of household expenditure for transport in total household expenditure,4.8240542251356,Road infrastructure maintenance,8220726.499381409
ALB,Albania,2012,4247.63134315945,13.9,105.854051094891,27400.0,Share of value added by the transport sector,4.8642186952531,Rail infrastructure investment,492526.86853459396
ALB,Albania,2012,4247.63134315945,13.9,105.854051094891,27400.0,Share of value added by the transport sector,4.8642186952531,Road infrastructure investment,193478406.2785682
ALB,Albania,2012,4247.63134315945,13.9,105.854051094891,27400.0,Share of value added by the transport sector,4.8642186952531,Road infrastructure maintenance,7118552.396789065
ALB,Albania,2012,4247.63134315945,13.9,105.854051094891,27400.0,Share of household expenditure for transport in total household expenditure,5.5710711490384,Rail infrastructure investment,492526.86853459396
ALB,Albania,2012,4247.63134315945,13.9,105.854051094891,27400.0,Share of household expenditure for transport in total household expenditure,5.5710711490384,Road infrastructure investment,193478406.2785682
ALB,Albania,2012,4247.63134315945,13.9,105.854051094891,27400.0,Share of household expenditure for transport in total household expenditure,5.5710711490384,Road infrastructure maintenance,7118552.396789065
ALB,Albania,2013,4413.06338346821,12.0,105.660291970803,27400.0,Share of value added by the transport sector,3.6146181399244,Rail infrastructure investment,709269.9031783487
ALB,Albania,2013,4413.06338346821,12.0,105.660291970803,27400.0,Share of value added by the transport sector,3.6146181399244,Road infrastructure investment,250555313.2163287
ALB,Albania,2013,4413.06338346821,12.0,105.660291970803,27400.0,Share of value added by the transport sector,3.6146181399244,Road infrastructure maintenance,9357786.787095034
ALB,Albania,2013,4413.06338346821,12.0,105.660291970803,27400.0,Share of household expenditure for transport in total household expenditure,5.210683122001,Rail infrastructure investment,709269.9031783487
ALB,Albania,2013,4413.06338346821,12.0,105.660291970803,27400.0,Share of household expenditure for transport in total household expenditure,5.210683122001,Road infrastructure investment,250555313.2163287
