Country_Code,Country_Name,Year,GDP_per_Capita_USD,KM_Railway_per_1000_sq_km,Population_Density_sq_km,Land_Area_sq_km,Houshold_Transport,Household_Vehicle_Purchases,Household_Operation_Personal,Household_Transport_Services,Rail_Invest_USD
AUT,Austria,2007,46915.3374004507,74.6,100.526987396995,82520.0,13.387057925729,28.312827254205,53.713508568936,17.973664176859,1610350000.0
AUT,Austria,2010,46903.7615854343,69.5,101.350024236549,82520.0,13.324201866793,28.503336646788,54.609207919805,16.887455433408,2071520000.0000002
AUT,Austria,2011,51442.2762464407,65.6,101.692232186137,82520.0,13.776697080154,28.883213271829,54.635376175672,16.481410552499,2293010000.0
AUT,Austria,2012,48564.9173350875,66.4,102.156943771207,82520.0,13.533970518898,27.28785984755,55.660752479982,17.051387672468,1806160000.0
AUT,Austria,2013,50731.1272541847,66.0,102.760821619001,82520.0,13.071911892149,26.340771220325,56.053990427908,17.605238351767,1763360000.0
AUT,Austria,2014,51786.3771747905,66.0,103.567086766844,82520.0,12.450271708976,25.383508263757,55.537164546029,19.079327190214,1676690000.0
AUT,Austria,2015,44195.8175947748,65.8,104.734597673291,82520.0,12.054509625828,26.469255291953,54.132061139569,19.398637836819,1657430000.0
AUT,Austria,2016,45307.5878620429,65.5,105.873339796413,82520.0,11.962630340862,27.713067363028,52.815048265822,19.47188437115,1629610000.0
AUT,Austria,2017,47429.1584564387,65.9,106.61131846825,82520.0,12.206369543257,27.748477912769,52.90512636527,19.346395721961,1660640000.0
AUT,Austria,2018,51466.5565633634,65.9,107.131858943286,82520.0,12.444272007231,26.683015244259,53.998701163611,19.34563385746,1799740000.0
AUT,Austria,2019,50067.5857265892,67.0,107.609306834707,82520.0,12.126384748866,25.844455349567,54.100379772233,20.244809255709,1858590000.0
AUT,Austria,2020,48789.4978498872,66.9,108.057004362579,82520.0,10.629763410078,30.675229832811,55.143167628944,14.181602538245,2142140000.0000002
AUT,Austria,2021,53517.8904509612,66.8,108.528805138148,82520.0,11.495255150593,28.299066056787,58.115694661972,13.585284068236,2406965000.0
BEL,Belgium,2005,36809.7013403619,116.1,346.057364597094,30280.0,12.337538836398,26.354399676593,64.37299555316,9.2726047702466,1014924465.8740001
BEL,Belgium,2006,38705.1067959147,116.6,348.347357992074,30280.0,12.617045750637,28.553439478575,61.976094654289,9.4704658671354,993439820.8566184
BEL,Belgium,2007,44319.165448813,116.9,350.914795244386,30280.0,12.310691321742,28.333390830372,62.018934596297,9.6476745733309,878192658.4359299
BEL,Belgium,2008,48303.397956286,115.1,353.697919418758,30280.0,12.367755757403,27.754893073371,62.791505990991,9.4536009356374,1051666392.5765076
BEL,Belgium,2009,44760.2912443709,117.2,356.555250990753,30280.0,11.825581985533,28.297344364359,61.607490836256,10.095164799384,1502616280.5894291
BEL,Belgium,2019,46641.7214017087,118.4,379.424702774108,30280.0,11.225177969277,27.760823955751,62.331489605188,9.9076864390616,961930000.0
BEL,Belgium,2020,45609.0034936111,118.4,381.063540290621,30280.0,10.116015203037,30.247059250653,63.106756462387,6.646184286959,1078829880.75
BEL,Belgium,2021,51850.3971840229,118.3,382.635237780713,30280.0,9.8157856793418,26.199573542398,66.984427836051,6.8159986215512,1216869366.835
BGR,Bulgaria,2005,3899.82596332878,37.4,70.4986377025037,108640.0,15.58863504362,16.36343004123,46.854786851761,36.781783107009,48691072.70682046
BGR,Bulgaria,2006,4523.1465578805,37.4,69.9716652858326,108630.0,17.092679069469,19.103810446688,46.09265105811,34.801975555625,42125984.251968
BGR,Bulgaria,2007,5888.77685220636,37.3,69.4718534204953,108610.0,16.989728784933,21.851038415597,45.334514956524,32.813162254845,47596891.29767873
BGR,Bulgaria,2008,7271.30338858025,37.3,68.98592210662,108610.0,15.81496049649,23.905808793868,45.205980233965,30.889471561113,76592698.63994288
BGR,Bulgaria,2009,6988.27316296465,37.4,68.5744565217391,108560.0,16.351374967875,22.554036892203,45.829823083404,31.616140024394,53067798.3433884
BGR,Bulgaria,2010,6863.66706774052,36.9,68.1245302137067,108560.0,15.989947137145,22.718783351121,46.798292422625,30.482924226254,138961038.9610391
BGR,Bulgaria,2011,7857.16706984441,36.7,67.6890935887988,108560.0,15.396701283731,20.50212197797,46.67993896333,32.8179390587,96287964.00449918
BGR,Bulgaria,2012,7430.7373804242,36.7,67.2981577008106,108560.0,15.932668686998,18.97399173204,50.867484782396,30.158523485564,122001227.1193403
BGR,Bulgaria,2013,7687.71368243317,36.3,66.922577376566,108560.0,15.243490330879,20.867202212105,46.389835760769,32.744153893829,132395950.5061845
BGR,Bulgaria,2014,7912.27484371138,36.2,66.5432756079587,108560.0,14.859034494504,12.011986914683,53.673678932162,34.315528068961,178898660.39471832
BGR,Bulgaria,2015,7078.86032298969,36.2,66.1200350036846,108560.0,15.092342519215,11.638613637392,55.38550291842,32.975883444188,322236424.99233073
BGR,Bulgaria,2016,7570.93165511708,36.3,65.6579034635225,108560.0,13.986317146428,11.966781683139,54.28036727294,33.752851043921,164127211.37130082
BGR,Bulgaria,2017,8381.88134621669,36.3,65.1800571112749,108560.0,13.927429266771,13.766382016552,55.125897306434,31.107720677014,98476326.8227837
BGR,Bulgaria,2018,9447.65589681469,36.3,64.7110998526161,108560.0,13.352825388786,12.989224137931,55.564655172414,31.446120689655,102853052.45935164
BGR,Bulgaria,2019,9874.33632625168,36.3,64.2571941783346,108560.0,13.763989684803,13.513723736279,55.063149604768,31.423126658953,132943041.21075751
BGR,Bulgaria,2020,10148.3423954435,36.3,63.8726510685335,108560.0,11.681811768026,13.814637210257,60.032129872326,26.154440807354,183275386.0312916
BGR,Bulgaria,2021,12219.3418706779,36.3,63.3543017686072,108560.0,12.304921822717,13.553120797405,62.203346254252,24.243532948343,177804478.985583
CAN,Canada,2005,36382.5079164537,7.2,3.5963894177628,8965590.0,14.830691300997,44.024211199481,43.672031921314,12.303756879205,621573822.6137611
CAN,Canada,2008,46710.5055759013,7.1,3.70830229800827,8965590.0,14.934111836791,40.232727047952,46.822024076278,12.945248875771,660129545.3087913
CAN,Canada,2012,52669.0899632316,6.3,3.87193949310642,8965590.0,15.184758035651,39.126726702527,47.398110280637,13.475163016836,1117636986.301364
CAN,Canada,2013,52635.1749580433,6.2,3.91306695934121,8965590.0,15.403433526873,39.793204377704,46.951514380249,13.255281242046,1082198187.664411
