"IndicatorCode","IndicatorName","VariableName","MeasurementName","CountryCode","Alpha3Code","CountryName","PeriodCode","Value",
"47","Railway density, total length of lines operated (km) per 1000 km2","Railway density","Kilometres of lines operated per 1000 sq. kms.","008","ALB","Albania","2005","..",
"47","Railway density, total length of lines operated (km) per 1000 km2","Railway density","Kilometres of lines operated per 1000 sq. kms.","008","ALB","Albania","2006","..",
"47","Railway density, total length of lines operated (km) per 1000 km2","Railway density","Kilometres of lines operated per 1000 sq. kms.","008","ALB","Albania","2007","..",
"47","Railway density, total length of lines operated (km) per 1000 km2","Railway density","Kilometres of lines operated per 1000 sq. kms.","008","ALB","Albania","2008","..",
"47","Railway density, total length of lines operated (km) per 1000 km2","Railway density","Kilometres of lines operated per 1000 sq. kms.","008","ALB","Albania","2009","..",
"47","Railway density, total length of lines operated (km) per 1000 km2","Railway density","Kilometres of lines operated per 1000 sq. kms.","008","ALB","Albania","2010","13.9",
"47","Railway density, total length of lines operated (km) per 1000 km2","Railway density","Kilometres of lines operated per 1000 sq. kms.","008","ALB","Albania","2011","13.9",
"47","Railway density, total length of lines operated (km) per 1000 km2","Railway density","Kilometres of lines operated per 1000 sq. kms.","008","ALB","Albania","2012","13.9",
"47","Railway density, total length of lines operated (km) per 1000 km2","Railway density","Kilometres of lines operated per 1000 sq. kms.","008","ALB","Albania","2013","12.0",
"47","Railway density, total length of lines operated (km) per 1000 km2","Railway density","Kilometres of lines operated per 1000 sq. kms.","008","ALB","Albania","2014","12.0",
"47","Railway density, total length of lines operated (km) per 1000 km2","Railway density","Kilometres of lines operated per 1000 sq. kms.","008","ALB","Albania","2015","13.2",
"47","Railway density, total length of lines operated (km) per 1000 km2","Railway density","Kilometres of lines operated per 1000 sq. kms.","008","ALB","Albania","2016","11.6",
"47","Railway density, total length of lines operated (km) per 1000 km2","Railway density","Kilometres of lines operated per 1000 sq. kms.","008","ALB","Albania","2017","11.6",
"47","Railway density, total length of lines operated (km) per 1000 km2","Railway density","Kilometres of lines operated per 1000 sq. kms.","008","ALB","Albania","2018","11.6",
"47","Railway density, total length of lines operated (km) per 1000 km2","Railway density","Kilometres of lines operated per 1000 sq. kms.","008","ALB","Albania","2019","8.2",
"47","Railway density, total length of lines operated (km) per 1000 km2","Railway density","Kilometres of lines operated per 1000 sq. kms.","008","ALB","Albania","2020","7.1",
"47","Railway density, total length of lines operated (km) per 1000 km2","Railway density","Kilometres of lines operated per 1000 sq. kms.","008","ALB","Albania","2021","7.8",
"47","Railway density, total length of lines operated (km) per 1000 km2","Railway density","Kilometres of lines operated per 1000 sq. kms.","008","ALB","Albania","2022","7.1",
"47","Railway density, total length of lines operated (km) per 1000 km2","Railway density","Kilometres of lines operated per 1000 sq. kms.","051","ARM","Armenia","2005","..",
"47","Railway density, total length of lines operated (km) per 1000 km2","Railway density","Kilometres of lines operated per 1000 sq. kms.","051","ARM","Armenia","2006","..",
"47","Railway density, total length of lines operated (km) per 1000 km2","Railway density","Kilometres of lines operated per 1000 sq. kms.","051","ARM","Armenia","2007","..",
"47","Railway density, total length of lines operated (km) per 1000 km2","Railway density","Kilometres of lines operated per 1000 sq. kms.","051","ARM","Armenia","2008","..",
"47","Railway density, total length of lines operated (km) per 1000 km2","Railway density","Kilometres of lines operated per 1000 sq. kms.","051","ARM","Armenia","2009","..",
"47","Railway density, total length of lines operated (km) per 1000 km2","Railway density","Kilometres of lines operated per 1000 sq. kms.","051","ARM","Armenia","2010","..",
"47","Railway density, total length of lines operated (km) per 1000 km2","Railway density","Kilometres of lines operated per 1000 sq. kms.","051","ARM","Armenia","2011","..",
"47","Railway density, total length of lines operated (km) per 1000 km2","Railway density","Kilometres of lines operated per 1000 sq. kms.","051","ARM","Armenia","2012","23.6",
"47","Railway density, total length of lines operated (km) per 1000 km2","Railway density","Kilometres of lines operated per 1000 sq. kms.","051","ARM","Armenia","2013","23.6",
"47","Railway density, total length of lines operated (km) per 1000 km2","Railway density","Kilometres of lines operated per 1000 sq. kms.","051","ARM","Armenia","2014","23.6",
"47","Railway density, total length of lines operated (km) per 1000 km2","Railway density","Kilometres of lines operated per 1000 sq. kms.","051","ARM","Armenia","2015","23.6",
"47","Railway density, total length of lines operated (km) per 1000 km2","Railway density","Kilometres of lines operated per 1000 sq. kms.","051","ARM","Armenia","2016","23.6",
"47","Railway density, total length of lines operated (km) per 1000 km2","Railway density","Kilometres of lines operated per 1000 sq. kms.","051","ARM","Armenia","2017","23.6",
"47","Railway density, total length of lines operated (km) per 1000 km2","Railway density","Kilometres of lines operated per 1000 sq. kms.","051","ARM","Armenia","2018","..",
"47","Railway density, total length of lines operated (km) per 1000 km2","Railway density","Kilometres of lines operated per 1000 sq. kms.","051","ARM","Armenia","2019","..",
"47","Railway density, total length of lines operated (km) per 1000 km2","Railway density","Kilometres of lines operated per 1000 sq. kms.","051","ARM","Armenia","2020","23.6",
"47","Railway density, total length of lines operated (km) per 1000 km2","Railway density","Kilometres of lines operated per 1000 sq. kms.","051","ARM","Armenia","2021","..",
"47","Railway density, total length of lines operated (km) per 1000 km2","Railway density","Kilometres of lines operated per 1000 sq. kms.","051","ARM","Armenia","2022","..",
"47","Railway density, total length of lines operated (km) per 1000 km2","Railway density","Kilometres of lines operated per 1000 sq. kms.","040","AUT","Austria","2005","..",
"47","Railway density, total length of lines operated (km) per 1000 km2","Railway density","Kilometres of lines operated per 1000 sq. kms.","040","AUT","Austria","2006","..",
"47","Railway density, total length of lines operated (km) per 1000 km2","Railway density","Kilometres of lines operated per 1000 sq. kms.","040","AUT","Austria","2007","74.6",
"47","Railway density, total length of lines operated (km) per 1000 km2","Railway density","Kilometres of lines operated per 1000 sq. kms.","040","AUT","Austria","2008","..",
"47","Railway density, total length of lines operated (km) per 1000 km2","Railway density","Kilometres of lines operated per 1000 sq. kms.","040","AUT","Austria","2009","..",
"47","Railway density, total length of lines operated (km) per 1000 km2","Railway density","Kilometres of lines operated per 1000 sq. kms.","040","AUT","Austria","2010","69.5",
"47","Railway density, total length of lines operated (km) per 1000 km2","Railway density","Kilometres of lines operated per 1000 sq. kms.","040","AUT","Austria","2011","65.6",
"47","Railway density, total length of lines operated (km) per 1000 km2","Railway density","Kilometres of lines operated per 1000 sq. kms.","040","AUT","Austria","2012","66.4",
"47","Railway density, total length of lines operated (km) per 1000 km2","Railway density","Kilometres of lines operated per 1000 sq. kms.","040","AUT","Austria","2013","66.0",
"47","Railway density, total length of lines operated (km) per 1000 km2","Railway density","Kilometres of lines operated per 1000 sq. kms.","040","AUT","Austria","2014","66.0",
"47","Railway density, total length of lines operated (km) per 1000 km2","Railway density","Kilometres of lines operated per 1000 sq. kms.","040","AUT","Austria","2015","65.8",
